Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Applying symmetry-breaking perturbation (amplitude=0.05)...
Done.

Running Pinball Re=100 for 150000 steps (t=1500s)
  PNGs    -> snapshots/ every 500 steps
  Scalars -> pinball_timeseries.h5

  t=    0.0s | CD1=442.1340 | CL2=-50.23368 | CL2_std(500)=0.0000 | reward=-15.00809
  t=    5.0s | CD1=1.0591 | CL2=-0.22517 | CL2_std(500)=0.4468 | reward=-0.04264
  t=   10.0s | CD1=0.9846 | CL2=0.04101 | CL2_std(500)=0.1283 | reward=-0.03680
  t=   15.0s | CD1=0.9651 | CL2=0.09624 | CL2_std(500)=0.0402 | reward=-0.03557
  t=   20.0s | CD1=0.9564 | CL2=0.10219 | CL2_std(500)=0.0146 | reward=-0.03506
  t=   25.0s | CD1=0.9552 | CL2=0.09292 | CL2_std(500)=0.0067 | reward=-0.03495
  t=   30.0s | CD1=0.9564 | CL2=0.08808 | CL2_std(500)=0.0036 | reward=-0.03498
  t=   35.0s | CD1=0.9571 | CL2=0.08856 | CL2_std(500)=0.0016 | reward=-0.03502
  t=   40.0s | CD1=0.9577 | CL2=0.09041 | CL2_std(500)=0.0012 | reward=-0.03507
  t=   45.0s | CD1=0.9586 | CL2=0.09081 | CL2_std(500)=0.0006 | reward=-0.03514
  t=   50.0s | CD1=0.9594 | CL2=0.09008 | CL2_std(500)=0.0004 | reward=-0.03520
  t=   55.0s | CD1=0.9601 | CL2=0.08971 | CL2_std(500)=0.0003 | reward=-0.03525
  t=   60.0s | CD1=0.9605 | CL2=0.08985 | CL2_std(500)=0.0001 | reward=-0.03528
  t=   65.0s | CD1=0.9607 | CL2=0.08999 | CL2_std(500)=0.0001 | reward=-0.03529
  t=   70.0s | CD1=0.9608 | CL2=0.08995 | CL2_std(500)=0.0000 | reward=-0.03531
  t=   75.0s | CD1=0.9609 | CL2=0.08988 | CL2_std(500)=0.0000 | reward=-0.03531
  t=   80.0s | CD1=0.9610 | CL2=0.08987 | CL2_std(500)=0.0000 | reward=-0.03532
  t=   85.0s | CD1=0.9610 | CL2=0.08989 | CL2_std(500)=0.0000 | reward=-0.03532
  t=   90.0s | CD1=0.9610 | CL2=0.08990 | CL2_std(500)=0.0000 | reward=-0.03532
  t=   95.0s | CD1=0.9610 | CL2=0.08990 | CL2_std(500)=0.0000 | reward=-0.03532
  t=  100.0s | CD1=0.9610 | CL2=0.08990 | CL2_std(500)=0.0000 | reward=-0.03532
  t=  105.0s | CD1=0.9610 | CL2=0.08991 | CL2_std(500)=0.0000 | reward=-0.03532
  t=  110.0s | CD1=0.9610 | CL2=0.08993 | CL2_std(500)=0.0000 | reward=-0.03532
  t=  115.0s | CD1=0.9610 | CL2=0.08994 | CL2_std(500)=0.0000 | reward=-0.03532
  t=  120.0s | CD1=0.9610 | CL2=0.08996 | CL2_std(500)=0.0000 | reward=-0.03532
